id,hhid,adm3,pack,variety_a,variety_b,variety_c,adm1,gender,age,elevation,lon,lat,planting_date,harverst_date,irrigation,fertilization,slope,char_1,best_1,worst_1,char_2,best_2,worst_2,char_3,best_3,worst_3,char_4,best_4,worst_4,char_5,best_5,worst_5,char_6,best_6,worst_6,char_7,best_7,worst_7,char_8,best_8,worst_8,char_9,best_9,worst_9,char_10,local_vs_var_a,local_vs_var_b,local_vs_var_c
guatemala_negro_2015_614,38540,Chispan,paquete 62,ICTA Sayaxche ML,ICTA Ligero (testigo),MEN 2201-64 ML,San Juan Ermita,M,36,NA,-89.43454742,14.76326321,2015-09-16,2015-11-22,No,Yes,medium,vigor,A,C,size,A,C,pest_resistance,B,A,disease_resistance,B,A,drought_resistance,A,C,yield,A,C,market_value,A,C,taste,A,C,overall,A,C,overall_vs_local,Better,Worse,Worse
guatemala_negro_2015_617,39008,Chispan,paquete 65,Azabache 40,ICTA Ligero (testigo),ICTA Sayaxche ML,San Juan Ermita,M,60,NA,-89.43317413,14.76392719,2015-09-15,2015-11-30,No,Yes,plain,vigor,C,B,size,C,A,pest_resistance,B,A,disease_resistance,B,A,drought_resistance,B,A,yield,C,A,market_value,C,A,taste,C,A,overall,C,A,overall_vs_local,Worse,Worse,Better
guatemala_negro_2015_619,38720,Chispan,paquete 67,ICTA Vaina Roja,ICTAZAM ML,SEQ 342-87 ML,San Juan Ermita,M,32,NA,-89.43317413,14.76392719,2015-09-09,2015-11-25,No,Yes,plain,vigor,C,B,size,C,A,pest_resistance,B,A,disease_resistance,B,A,drought_resistance,C,B,yield,C,A,market_value,C,A,taste,C,A,overall,C,A,overall_vs_local,Worse,Worse,Better
guatemala_negro_2015_62,18146,Plan de la Arada,paquete 446,SEQ 342-87 ML,ICTA Peten ML,ICTAZAM ML,Jocotan,F,36,NA,-89.38339233,14.84790381,2015-09-16,2015-12-11,No,Yes,high,vigor,A,B,size,A,C,pest_resistance,A,C,disease_resistance,A,C,drought_resistance,A,C,yield,A,B,market_value,A,B,taste,A,B,overall,A,C,overall_vs_local,Better,Worse,Worse
guatemala_negro_2015_621,39107,Chispan,paquete 69,SEQ 342-89,ICTA Sayaxche ML,MEN 2201-64 ML,San Juan Ermita,M,40,NA,-89.43145752,14.76392719,2015-09-20,2015-12-08,No,Yes,medium,vigor,C,A,size,C,A,pest_resistance,B,A,disease_resistance,B,A,drought_resistance,NA,NA,yield,B,C,market_value,B,C,taste,B,C,overall,B,C,overall_vs_local,Worse,Better,Worse
guatemala_negro_2015_622,39026,Chispan,paquete 70,ICTA Peten ML,ICTAZAM ML,SEQ 342-87 ML,San Juan Ermita,M,30,NA,-89.43214417,14.76392719,2015-09-18,2015-12-15,No,Yes,plain,vigor,C,A,size,C,A,pest_resistance,C,A,disease_resistance,C,A,drought_resistance,NA,NA,yield,C,A,market_value,C,A,taste,C,A,overall,C,A,overall_vs_local,Worse,Worse,Better
guatemala_negro_2015_623,38801,Chispan,paquete 73,SEQ 342-87 ML,ICTAZAM ML,SEQ 342-89,San Juan Ermita,M,38,NA,-89.43145752,14.76459117,2015-09-20,2015-11-30,No,Yes,high,vigor,B,A,size,B,A,pest_resistance,B,A,disease_resistance,B,C,drought_resistance,B,A,yield,B,A,market_value,B,A,taste,B,A,overall,B,A,overall_vs_local,Worse,Better,Worse
guatemala_negro_2015_626,38711,Chispan,paquete 74,ICTA Peten ML,ICTA Vaina Roja,Azabache 40,San Juan Ermita,M,28,NA,-89.43283081,14.76425918,2015-09-20,2015-12-14,No,Yes,medium,vigor,C,A,size,C,A,pest_resistance,C,A,disease_resistance,C,A,drought_resistance,NA,NA,yield,C,A,market_value,C,A,taste,C,B,overall,C,A,overall_vs_local,Worse,Worse,Better
guatemala_negro_2015_627,56531,Los Encuentros,paquete 50,Azabache 40,MEN 2201-64 ML,ICTA Vaina Roja,San Juan Ermita,M,54,NA,-89.43214417,14.76425918,2015-09-28,2015-12-25,No,Yes,medium,vigor,B,A,size,B,A,pest_resistance,B,A,disease_resistance,B,A,drought_resistance,B,A,yield,B,A,market_value,B,A,taste,B,A,overall,B,A,overall_vs_local,Worse,Better,Worse
guatemala_negro_2015_628,56702,Los Encuentros,paquete 53,ICTAZAM ML,ICTA Vaina Roja,MEN 2201-64 ML,San Juan Ermita,M,58,NA,-89.43248749,14.7635952,2015-09-22,2015-12-20,No,Yes,medium,vigor,A,C,size,A,C,pest_resistance,A,C,disease_resistance,A,C,drought_resistance,NA,NA,yield,A,C,market_value,A,C,taste,A,C,overall,A,C,overall_vs_local,Better,Worse,Worse
